x,y,z
0.474950,0.697395,0.000585
0.731463,0.414830,0.001113
0.875752,0.046092,-0.000646
0.026052,0.356713,0.000241
0.456914,0.072144,0.000930
0.016032,0.723447,0.000150
0.148297,0.034068,0.000466
0.306613,0.044088,-0.000936
0.024048,0.677355,0.000536
0.691383,0.204409,-0.000411
0.372745,0.154309,-0.001313
0.989980,0.014028,-0.000281
0.122244,0.090180,-0.001313
0.755511,0.989980,-0.000304
0.252505,0.216433,0.001946
0.356713,0.056112,-0.000242
0.406814,0.446894,-0.001038
0.537074,0.501002,-0.001330
0.316633,0.118236,0.001177
0.819639,0.627255,-0.001573
0.072144,0.002004,-0.000194
0.470942,0.593186,-0.001417
0.549098,0.603206,-0.000832
0.004008,0.358717,0.000627
0.767535,0.951904,0.000002
0.837675,0.026052,-0.000900
0.398798,0.901804,-0.000976
0.372745,0.138277,-0.001014
0.340681,0.124248,0.000346
0.581162,0.342685,0.000338
0.314629,0.076152,-0.000993
0.354709,0.472946,-0.001428
0.571142,0.378758,0.000689
0.993988,0.909820,-0.000341
0.010020,0.761523,-0.000403
0.699399,0.360721,0.001104
0.961924,0.811623,-0.000616
0.480962,0.581162,-0.000268
0.482966,0.016032,-0.001147
0.577154,0.927856,0.000416
0.535070,0.166333,-0.000884
0.350701,0.364729,-0.001205
0.679359,0.969940,-0.000043
0.040080,0.392786,0.000987
0.603206,0.903808,0.000004
0.847695,0.236473,0.000299
0.523046,0.014028,-0.000164
0.454910,0.545090,-0.000333
0.296593,0.673347,-0.000138
0.448898,0.579158,-0.001478
0.296593,0.785571,-0.001336
0.266533,0.975952,-0.000223
0.024048,0.821643,0.001579
0.535070,0.114228,-0.000052
0.172345,0.719439,-0.000791
0.328657,0.204409,0.000999
0.434870,0.206413,-0.001052
0.012024,0.254509,0.001984
0.440882,0.581162,-0.000678
0.360721,0.801603,0.001329
0.364729,0.276553,-0.000548
0.032064,0.458918,-0.002018
0.511022,0.699399,-0.000193
0.897796,0.090180,-0.000671
0.098196,0.282565,0.000438
0.705411,0.244489,-0.000190
0.364729,0.701403,-0.000261
0.288577,0.090180,0.000789
0.835671,0.725451,-0.000482
0.875752,0.757515,0.000543
0.160321,0.284569,-0.000048
0.132265,0.863727,0.000339
0.302605,0.074148,-0.000805
0.945892,0.899800,-0.000042
0.290581,0.651303,-0.000704
0.374749,0.308617,-0.001249
0.717435,0.406814,0.000724
0.260521,0.687375,-0.000028
0.066132,0.719439,0.001453
0.446894,0.583166,-0.000965
0.533066,0.346693,-0.000005
0.142285,0.308617,-0.000308
0.503006,0.591182,-0.001538
0.887776,0.268537,0.000690
0.787575,0.965932,-0.000336
0.705411,0.671343,-0.001052
0.042084,0.398798,0.000508
0.160321,0.348697,0.000883
0.476954,0.705411,0.001072
0.913828,0.551102,0.001204
0.675351,0.849699,0.000658
0.418838,0.360721,0.000376
0.236473,0.959920,-0.000519
0.869739,0.941884,-0.001475
0.372745,0.707415,-0.000620
0.044088,0.282565,-0.000179
0.871743,0.446894,0.001065
0.450902,0.102204,0.000423
0.292585,0.366733,-0.000089
0.513026,0.995992,0.000607
0.867735,0.591182,-0.000871
0.949900,0.829659,-0.000912
0.128257,0.360721,0.000629
0.496994,0.058116,0.000091
0.723447,0.589178,0.000410
0.555110,0.893788,0.000571
0.813627,0.971944,-0.001967
0.444890,0.498998,0.000841
0.236473,0.128257,0.000694
0.575150,0.306613,-0.000639
0.126253,0.567134,0.001212
0.583166,0.212425,-0.000604
0.767535,0.723447,0.000054
0.865731,0.989980,-0.001654
0.034068,0.182365,0.003628
0.931864,0.675351,0.000073
0.885772,0.442886,0.001224
0.408818,0.985972,0.000389
0.290581,0.529058,-0.001194
0.987976,0.084168,0.000795
0.817635,0.567134,-0.000169
0.050100,0.751503,0.000240
0.216433,0.573146,0.000598
0.320641,0.947896,-0.001408
0.452906,0.661323,0.000013
0.490982,0.336673,0.000202
0.647295,0.629259,-0.001201
0.917836,0.258517,0.001221
0.304609,0.701403,-0.000541
0.222445,0.687375,-0.000284
0.490982,0.749499,-0.000469
0.995992,0.889780,-0.000016
0.853707,0.034068,-0.000965
0.887776,0.981964,-0.000974
0.162325,0.839679,0.000928
0.827655,0.380762,0.000340
0.865731,0.328657,-0.000878
0.396794,0.887776,-0.000006
0.478958,0.484970,-0.001072
0.168337,0.244489,0.000437
0.971944,0.911824,0.000052
0.627255,0.418838,0.000625
0.244489,0.897796,-0.000689
0.575150,0.298597,-0.000149
0.218437,0.042084,-0.000149
0.807615,0.114228,0.000551
0.941884,0.555110,-0.000004
0.971944,0.186373,0.001512
0.196393,0.332665,0.000053
0.721443,0.270541,-0.000790
0.082164,0.210421,0.001599
0.553106,0.679359,-0.000845
0.262525,0.482966,-0.000050
0.641283,0.342685,-0.001322
0.244489,0.430862,-0.001370
0.450902,0.298597,-0.000268
0.340681,0.691383,-0.001697
0.168337,0.384770,-0.000027
0.208417,0.276553,0.000552
0.589178,0.761523,-0.000003
0.160321,0.438878,-0.000359
0.843687,0.324649,0.001223
0.468938,0.515030,0.000833
0.587174,0.889780,-0.000472
0.671343,0.981964,0.000197
0.525050,0.164329,-0.001346
0.266533,0.643287,-0.001121
0.673347,0.591182,-0.000845
0.278557,0.192385,0.001122
0.470942,0.509018,0.000185
0.877756,0.136273,-0.000711
0.276553,0.054108,-0.000418
0.871743,0.440882,0.000667
0.378758,0.529058,-0.000907
0.915832,0.020040,0.000232
0.414830,0.577154,0.000795
0.470942,0.849699,0.000270
0.701403,0.835671,-0.000105
0.931864,0.659319,0.000990
0.875752,0.857715,-0.000081
0.450902,0.198397,-0.001328
0.703407,0.675351,-0.000970
0.565130,0.292585,0.000195
0.202405,0.400802,0.000260
0.547094,0.887776,0.001389
0.064128,0.116232,0.000698
0.907816,0.050100,-0.000086
0.701403,0.951904,0.000330
0.086172,0.330661,-0.000832
0.909820,0.571142,-0.000717
0.246493,0.833667,-0.000250
0.170341,0.454910,-0.001419
0.517034,0.897796,0.000166
0.196393,0.745491,-0.001174
0.765531,0.086172,0.000286
0.521042,0.627255,-0.000857
0.150301,0.705411,-0.000056
0.248497,0.539078,0.000721
0.541082,0.535070,-0.001503
0.286573,0.697395,0.001301
